id,name,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,protected,default_profile,default_profile_image,user_id,target,raw_label,followers_friends_ratio,favourites_statuses_ratio,statuses_followers_ratio,description_length,username_length,username_digit_count,username_digit_ratio,fullname_length,fullname_word_count,name_equals_username,followers_count_transformed,friends_count_transformed,favourites_count_transformed,clean_desc,clean_name,clean_screen_name,combined_text
3019325733,Kip Dynamite,JoeHeadTV,,Full time singer/song writer & sensitive Proud owner of a 50” TV and a working fridge,23454,284,13,4332,0,3106,0,1,0,3019325733,0,human,82.29824561403508,1.3945928548439008,0.1324664250692816,85,9,0,0.0,12,2,0,4.370235437283177,2.45484486000851,3.636788689034375,full time singer song writer sensitive proud owner of a 50 tv and a working fridge,kip dynamite,joeheadtv,full time singer song writer sensitive proud owner of a 50 tv and a working fridge kip dynamite joeheadtv
1038692990,It’s pronounced like Ann-knee,annemuyfresca,TEXA$,A1 SINCE DAY 1 | 4.30.16,808,513,5,12325,0,100989,0,0,0,1038692990,0,human,1.5739299610894941,0.1220516882859689,124.83312731767614,24,13,0,0.0,29,4,0,2.9079485216122722,2.710963118995276,4.090822163394656,a1 since day 1 4 30 16,it s pronounced like ann knee,annemuyfresca,a1 since day 1 4 30 16 it s pronounced like ann knee annemuyfresca
558652897,ダイエットの名言,_diet_meigen_,,ダイエットの成功を目指す、あなたモチベーションを上げるためのアカウントです。一時間に一回、ダイエットのやる気を出させてくれる名言の数々をつぶやいていきます。 LINEでダイエットサポートのアカウント「ダイエットトレーナー」も展開しているので、登録してみてください。 #LINEでダイエット,136685,0,613,1763,0,35406,0,0,0,558652897,1,bot,136686.0,0.049820656932245036,0.25903896521955433,144,13,0,0.0,8,1,0,5.135724034435321,0.0,3.246498580795801,line line,,diet meigen,line line  diet meigen
14448642,Dinamalar,dinamalarweb,"39, Whites road, Chennai","https://t.co/Jax7cEBSuN is the No.1, Tamil News website in the world. It offers various news like Political,General,Cinema, Sports,Temple news in Tamil language",325236,311,654,14,1,522604,0,0,0,14448642,1,bot,1042.426282051282,2.8702366031706546e-05,1.6068436248028362,160,12,0,0.0,9,1,0,5.512199946460073,2.494154594018443,1.1760912590556813,is the no 1 tamil news website in the world it offers various news like political general cinema sports temple news in tamil language,dinamalar,dinamalarweb,is the no 1 tamil news website in the world it offers various news like political general cinema sports temple news in tamil language dinamalar dinamalarweb
3073042992,副業で稼ぐ＠相互フォロー,happy_osu,,"大学生の時にネットで稼ぎはじめ，そのままOLとなりました！社会人になって時間がなくなりつつも変わらず稼いでいます。18歳以上の女性であればどなたでもできる安全で簡単な仕事ですので気になる方はDM下さい♪
https://t.co/5LGNMiIzhW",3755,4996,1,0,0,24831,0,1,0,3073042992,1,bot,0.7516509905943566,4.027061855670103e-05,6.611288604898829,125,9,0,0.0,12,1,0,3.5747255835940734,3.698709349442587,0.0,ol 18 dm,,happy osu,ol 18 dm  happy osu
278561826,عبدالرحمن البدر,albader900,Riyadh,ممثل وكاتب | https://t.co/CdXThrLQVH,99787,248,124,266,0,874,0,1,0,278561826,1,bot,400.7550200803213,0.30514285714285716,0.008768589409548243,36,10,3,0.3,15,2,0,4.9990783183702705,2.3961993470957363,2.4265112613645754,,,albader900,albader900
61484151,Kingsley,kingsleyyy,,I played the role of Brandy in “The Boy Is Mine” in my upstairs hallway in 1999.,790829,320,4406,25209,1,298,0,0,0,61484151,0,human,2463.644859813084,84.31438127090301,0.00037808378539003326,80,10,0,0.0,8,1,0,5.898083135840586,2.506505032404872,4.401572845676446,i played the role of brandy in the boy is mine in my upstairs hallway in 1999,kingsley,kingsleyyy,i played the role of brandy in the boy is mine in my upstairs hallway in 1999 kingsley kingsleyyy
553785251,العربية مصر,AlArabiya_EGY,Dubai,حساب #العربية الخاص بالأخبار في #مصر,1154173,37,1559,1,1,37704,0,0,0,553785251,1,bot,30373.0,5.304336294921098e-05,0.032668384489686994,36,13,0,0.0,11,2,0,6.062271286760279,1.5797835966168101,0.3010299956639812,,,alarabiya egy,alarabiya egy
14897840,ABC 7 News - WJLA,ABC7News,"Washington, DC","Breaking news, weather, sports and information for the Washington, D.C. area from the ABC 7 Newsroom.",151634,901,2824,4685,1,279822,0,0,0,14897840,1,bot,168.109756097561,0.016746300339857696,1.8453721106604675,101,8,1,0.125,17,5,0,5.180799455600018,2.9552065375419416,3.670802284260944,breaking news weather sports and information for the washington d c area from the abc 7 newsroom,abc 7 news wjla,abc7news,breaking news weather sports and information for the washington d c area from the abc 7 newsroom abc 7 news wjla abc7news
943073006,صحيفة أوان الكويتية,awan_kuwait,الكويت,أوان دائماً معك حيث تكون وفي كل لحظة.,99661,67618,90,22,0,30789,0,0,0,943073006,1,bot,1.4738756858279478,0.0007469957778499513,0.30894423150247835,37,11,0,0.0,19,3,0,4.998529598270001,4.830068743807845,1.3617278360175928,,,awan kuwait,awan kuwait
16667262,Jillian Michaels,JillianMichaels,"Los Angeles, CA",Leading fitness expert & world renowned life coach. Checkout my #JillianMichaelsApp for personalized workouts and meal plans,1749279,119,10702,6789,1,18357,0,0,0,16667262,0,human,14577.333333333334,0.3698659984747794,0.010494603494008964,124,15,0,0.0,16,2,0,6.242859330760674,2.0791812460476247,3.8318697742805017,leading fitness expert world renowned life coach checkout my jillianmichaelsapp for personalized workouts and meal plans,jillian michaels,jillianmichaels,leading fitness expert world renowned life coach checkout my jillianmichaelsapp for personalized workouts and meal plans jillian michaels jillianmichaels
135938060,Annie García Hdez,aninisis,Guadalajara,"Quiero saber todo lo que se pueda saber; me hago responsable de lo que digo, no de lo que entiendas. Casada con @mariocobos",1033,1814,31,2111,0,22692,0,0,0,135938060,0,human,0.5696969696969697,0.0930683470673776,21.9468085106383,123,8,0,0.0,17,3,0,3.0145205387579237,3.258876629372131,3.3246939138617746,quiero saber todo lo que se pueda saber me hago responsable de lo que digo no de lo que entiendas casada con mariocobos,annie garc a hdez,aninisis,quiero saber todo lo que se pueda saber me hago responsable de lo que digo no de lo que entiendas casada con mariocobos annie garc a hdez aninisis
168789642,marci nelson,1jedi2,"Lacey, WA","*Illusion of Democracy*
*Silence IS Complicity.*
*#25thAmendmentNOW!*
*They got money for Wars, but Can't Feed The Poor!- TuPac.*
*Coup d'état*",1557,4281,64,6601,0,95717,0,0,0,168789642,1,bot,0.3638486688463335,0.06897344282162185,61.436456996148905,143,6,2,0.3333333333333333,12,2,0,3.1925674533365456,3.6316466629584196,3.8196755199942927,illusion of democracy silence is complicity 25thamendmentnow they got money for wars but can t feed the poor tupac coup d tat,marci nelson,1jedi2,illusion of democracy silence is complicity 25thamendmentnow they got money for wars but can t feed the poor tupac coup d tat marci nelson 1jedi2
766852874,Anne Nishadi,Annenishadi,USA,"Hi, I am Anne Nishadi",29294,7010,101,840,0,37567,0,0,0,766852874,1,bot,4.178433889602054,0.022386073253833048,1.2824031404676566,21,11,0,0.0,12,2,0,4.466793502343536,3.8457799671118895,2.924795995797912,hi i am anne nishadi,anne nishadi,annenishadi,hi i am anne nishadi anne nishadi annenishadi
558572709,AS Monaco 🇲🇨,AS_Monaco,Monaco,Twitter officiel de l’AS Monaco ! 🇬🇧@as_monaco_en 🇧🇷@as_monaco_br 🇪🇸@as_monaco_es 🎮@ASMonacoEsports,2063542,346,2427,2365,1,53732,0,0,0,558572709,0,human,5946.809798270893,0.044032531219176295,0.02603919569400783,99,9,0,0.0,12,3,0,6.314613523113192,2.5403294747908736,3.3740147402919116,twitter officiel de l as monaco as monaco en as monaco br as monaco es asmonacoesports,as monaco,as monaco,twitter officiel de l as monaco as monaco en as monaco br as monaco es asmonacoesports as monaco as monaco
227296786,مجموعة الطيار للسفر,altayyaronline,Saudi Arabia,"الحساب الرسمي لمجموعة الطيار للسفر والسياحة المساهمة المدرجة في السوق السعودي. 

خدمة العملاء: 920012333",249730,56,418,87,1,35944,0,0,0,227296786,1,bot,4381.245614035088,0.0024481847266657393,0.1439348739243426,104,14,0,0.0,19,3,0,5.3974724562211565,1.7558748556724915,1.9444826721501687,920012333,,altayyaronline,920012333  altayyaronline
147233107,おなかちゃん／kenken76,as_kenken76,神奈川県川崎市中原区,ハロヲタ兼鉄ヲタ。一応、現場系。Juice=JuiceやBitter&Sweetの現場に主に出現しますが、ずっと「team℃-ute」です。長文投稿が多く、時には連投することもあります。うるさい場合は適宜処理なさってください。表示名が変わった件については気にしないでください。,1122,646,39,7671,0,71620,0,1,0,147233107,0,human,1.7357032457496135,0.10711942028176094,63.776491540516474,138,11,2,0.18181818181818182,15,1,0,3.050379756261458,2.8109042806687006,3.8849085941626074,juice juice bitter sweet team ute,kenken76,as kenken76,juice juice bitter sweet team ute kenken76 as kenken76
399830372,Jose Rebolledo,1JOSE_JOSE_JOSE,Hey there!,|Eastern Kentucky University| |BBN| |ΠΚΑ|,862,503,4,24455,0,5990,0,0,0,399830372,0,human,1.7123015873015872,4.082123184777166,6.942062572421785,41,15,1,0.06666666666666667,14,2,0,2.9360107957152097,2.7024305364455254,4.388385425718033,eastern kentucky university bbn,jose rebolledo,1jose jose jose,eastern kentucky university bbn jose rebolledo 1jose jose jose
22885574,Leo Jaime,LeoJaime,Rio de Janeiro,metamorfose ambulante from mars. https://t.co/jAeuneV9eG,935068,1185,3063,23884,1,81189,0,0,0,22885574,0,human,788.4224283305227,0.29418647616701565,0.08682781698462894,56,8,0,0.0,9,2,0,5.970843659229305,3.074084689028244,4.378125245619373,metamorfose ambulante from mars,leo jaime,leojaime,metamorfose ambulante from mars leo jaime leojaime
330432644,Mercedes Lambre 🎀,Mechilambre,Argentina,Actriz Argentina🇦🇷Mi frase favorita en el mundo: Todo lo puedo en Cristo que me fortalece 💘 💪🏻 Filipenses 4:13 Redes:  Manager: Jorge Galli,1073392,535,1603,7074,1,5523,0,0,0,330432644,0,human,2002.5988805970148,1.2807748008689355,0.005146297767919112,139,11,0,0.0,17,3,0,6.030758758762377,2.72916478969277,3.8497264441963277,actriz argentina mi frase favorita en el mundo todo lo puedo en cristo que me fortalece filipenses 4 13 redes manager jorge galli,mercedes lambre,mechilambre,actriz argentina mi frase favorita en el mundo todo lo puedo en cristo que me fortalece filipenses 4 13 redes manager jorge galli mercedes lambre mechilambre
338163791,江崎びす子@2/9原宿イベント,5623V,Tokyo Harajuku,「病みかわいい」の人です。イラストレーター・漫画家・デザイナー・モデル。(@ppg_5623V)(@5623V2)(@manapis_5623)(@usatan_mhc)(@yumekawaboys)(@B_S_K_E_Z_K )【ezakibisuko@gmail.com】☜ご連絡はコチラ,156108,4603,2203,29923,0,35313,0,0,0,338163791,0,human,33.90725456125109,0.8473693152857223,0.2262137352747119,146,5,4,0.8,15,1,0,5.193427941740599,3.663135314957754,4.4760196460713155,ppg 5623v 5623v2 manapis 5623 usatan mhc yumekawaboys b s k e z k ezakibisuko gmail com,2 9,5623v,ppg 5623v 5623v2 manapis 5623 usatan mhc yumekawaboys b s k e z k ezakibisuko gmail com 2 9 5623v
115637932,Koolinvestor,atchutneelam,,Real Estate Investor : Entrepreneur :,47798,112656,1292,13922,0,117603,0,0,0,115637932,1,bot,0.42428788268815965,0.11838883031189415,2.4603862005481285,37,12,0,0.0,12,1,0,4.679418810858462,5.051758182006796,4.143732823138692,real estate investor entrepreneur,koolinvestor,atchutneelam,real estate investor entrepreneur koolinvestor atchutneelam
81225298,Gui,Aguinaldinho,Minas Gerais,"meu animal de estimação se chama 'paz, amor, luz, vida nova' assim posso invocar coisas boas sempre que for chamar por ele. contatoaguinaldinho@live.com 📧",736785,285,1608,21387,0,88262,0,0,0,81225298,0,human,2576.1748251748254,0.24232124446257208,0.11979462150475172,154,12,0,0.0,3,1,0,5.867341365043689,2.456366033129043,4.330170175428303,meu animal de estima o se chama paz amor luz vida nova assim posso invocar coisas boas sempre que for chamar por ele contatoaguinaldinho live com,gui,aguinaldinho,meu animal de estima o se chama paz amor luz vida nova assim posso invocar coisas boas sempre que for chamar por ele contatoaguinaldinho live com gui aguinaldinho
415745334,Definitely A Douche,DefinitelyaDbag,,All things that make someone...Definitely a Douchebag,86958,71070,176,77,0,84655,0,0,0,415745334,1,bot,1.2235510967905334,0.0009213759213759214,0.9735162547867385,53,15,0,0.0,19,3,0,4.9393145368627485,4.851692426198394,1.8920946026904804,all things that make someone definitely a douchebag,definitely a douche,definitelyadbag,all things that make someone definitely a douchebag definitely a douche definitelyadbag
2904024759,Buggy!,Bkeepitreal,WestBank!,MillyBrother,1512,1072,4,3733,0,21248,0,0,0,2904024759,0,human,1.4100652376514446,0.1757259165137183,14.044282881692002,12,11,0,0.0,6,1,0,3.179838928023187,3.030599721965951,3.5721743136130595,millybrother,buggy,bkeepitreal,millybrother buggy bkeepitreal
113125130,Ali Saffari A.,AliSaffari26,Panama,,860,302,2,347,0,28574,0,0,0,113125130,0,human,2.8415841584158414,0.012178477690288713,33.18815331010453,0,12,2,0.16666666666666666,14,3,0,2.935003151453655,2.481442628502305,2.5415792439465807,,ali saffari a,alisaffari26,ali saffari a alisaffari26
18131961,Ken Jeong,kenjeong,,Instagram model.,821272,1730,7282,60604,1,39600,0,0,0,18131961,0,human,474.45002888503757,1.5303906467008408,0.048219045311364186,16,8,0,0.0,9,2,0,5.914487545287122,3.238297067875394,4.782508455566158,instagram model,ken jeong,kenjeong,instagram model ken jeong kenjeong
72047325,Lili Estefan,LiliEstefan,"Miami, Florida",TWITTER OFICIAL desde JUNIO del 2011 | TV Host for UNIVISION Network @ELGORDOYLAFLACA l Facebook Oficial: http://t.co/JFyNICsbIg,1040549,1105,2220,11826,1,15496,0,0,0,72047325,0,human,940.8227848101266,0.7631799703168355,0.014893085387535438,128,11,0,0.0,12,2,0,6.017262953555213,3.0437551269686796,4.072874596810989,twitter oficial desde junio del 2011 tv host for univision network elgordoylaflaca l facebook oficial,lili estefan,liliestefan,twitter oficial desde junio del 2011 tv host for univision network elgordoylaflaca l facebook oficial lili estefan liliestefan
23536653,Orlando Alzugaray,BigOShow,"Miami, Florida","Starting March 1st @1210TheMan 3-6pm, Host @SiriusXM @MaddogRadio Ch. 82 Sat 3-7pm & Sun 3-7pm. Columnist @TheAthleticMIA. #Podcast search #BigORadioShow",104027,81261,523,29717,1,164130,0,0,0,23536653,1,bot,1.2801555462577834,0.1810626877311416,1.5777579113315645,153,8,0,0.0,17,2,0,5.017150248999077,4.9098875068689924,4.4730195783661,starting march 1st 1210theman 3 6pm host siriusxm maddogradio ch 82 sat 3 7pm sun 3 7pm columnist theathleticmia podcast search bigoradioshow,orlando alzugaray,bigoshow,starting march 1st 1210theman 3 6pm host siriusxm maddogradio ch 82 sat 3 7pm sun 3 7pm columnist theathleticmia podcast search bigoradioshow orlando alzugaray bigoshow
312960864,ふじーひろし,sokohaka_fuzy,山梨県八王子市,1969年京都生まれ。ライターを経て現職：瘋癲（ふうてん）。年に数回壊れますが基本的にはくだらないことしかつぶやきません。関連アカウント：勝手邦題bot→@katte_houdai,1427,1638,43,2643,0,132682,0,0,0,312960864,1,bot,0.8712629652226968,0.01992719489309105,92.91526610644257,90,13,0,0.0,6,1,0,3.1547282074401557,3.214578953570499,3.4222614508136027,1969 bot katte houdai,,sokohaka fuzy,1969 bot katte houdai  sokohaka fuzy
90997089,Hector Contreras,contrerashector,,"sígueme en Instagram @contrerashector
Manager @chynomiranda

TV host. DJ. 
Mi gran amor la radio",87200,1226,229,3778,0,12397,0,0,0,90997089,0,human,71.06845965770171,0.3048072269720923,0.14217726860930494,96,15,0,0.0,16,2,0,4.940521465345316,3.0888445627270045,3.5773768919170146,s gueme en instagram contrerashector manager chynomiranda tv host dj mi gran amor la radio,hector contreras,contrerashector,s gueme en instagram contrerashector manager chynomiranda tv host dj mi gran amor la radio hector contreras contrerashector
144666448,Alejandro Gil,AleEnForma,Caracas,Co-Fundador de @EstandoEnForma. Conferencista. Egresado de la Facultad de Ciencias UCV. Advanced Fitness Trainer Specialist(IFBB). 📩ale@estandoenforma.net,88539,69,517,23,0,70107,0,0,0,144666448,1,bot,1264.857142857143,0.00034232897814800024,0.7918229049017393,154,10,0,0.0,13,2,0,4.947139517642829,1.845098040014257,1.380211241711606,co fundador de estandoenforma conferencista egresado de la facultad de ciencias ucv advanced fitness trainer specialist ifbb ale estandoenforma net,alejandro gil,aleenforma,co fundador de estandoenforma conferencista egresado de la facultad de ciencias ucv advanced fitness trainer specialist ifbb ale estandoenforma net alejandro gil aleenforma
251724140,Litigation Edge,LitigationEdge,Singapore,"​Asia's Premier #LitSupport, Paper & #eDiscovery Consultants and Cloud-based #DocReview Provider. #DataProtection #AI #DataCollection",1265,885,147,374,0,9250,0,0,0,251724140,1,bot,1.4288939051918736,0.04053615825316182,7.307266982622433,133,14,0,0.0,15,2,0,3.1024337056813365,2.9474337218870508,2.574031267727719,asia s premier litsupport paper ediscovery consultants and cloud based docreview provider dataprotection ai datacollection,litigation edge,litigationedge,asia s premier litsupport paper ediscovery consultants and cloud based docreview provider dataprotection ai datacollection litigation edge litigationedge
124266832,Chilevision,chilevision,Santiago de Chile,Twitter oficial de Chilevisión #VamosContigoCHV 😉,1323493,2074,1779,2814,1,180339,0,0,0,124266832,1,bot,637.8284337349397,0.015609404458245536,0.1362605346151928,49,11,0,0.0,11,1,1,6.121721976787501,3.3170181010481117,3.449478399187365,twitter oficial de chilevisi n vamoscontigochv,chilevision,chilevision,twitter oficial de chilevisi n vamoscontigochv chilevision chilevision
105970552,アシケンタ,art_d_ashiken,TOKYO,アートディレクター、グラフィックデザイナー。呼吸するように創ってます。ネコとジムとヒロアカが病的に好きです。ヒロアカ3期は神ターン。オールマイト好きすぎます。口癖は「ジム行こ」です。,1145,329,21,876,0,51563,0,0,0,105970552,0,human,3.4727272727272727,0.017007990070591887,44.99476439790576,91,13,0,0.0,5,1,0,3.059184617631371,2.5185139398778875,2.9429995933660407,3,,art d ashiken,3  art d ashiken
4080133834,Adams,WritersUSA,"Dubai, United Arab Emirates",,819,92,1612,0,0,374878,0,1,0,4080133834,1,bot,8.817204301075268,2.667527388837465e-06,457.16951219512197,0,10,0,0.0,5,1,0,2.9138138523837167,1.968482948553935,0.0,,adams,writersusa,adams writersusa
2431613352,干物妹キョロ,reonnopiopi,,アカウント変えました→@UMRUMR123,654,968,18,72290,0,100502,0,1,0,2431613352,1,bot,0.675954592363261,0.719291961433987,153.43969465648854,21,11,0,0.0,6,1,0,2.816241299991783,2.9863237770507656,4.859084232375661,umrumr123,,reonnopiopi,umrumr123  reonnopiopi
2590473956,Magui,DanuInsua,,"https://t.co/sxmjNI7QEj 
https://t.co/F8S6ZPLCdL",1293,1219,5,5828,0,25176,0,0,0,2590473956,0,human,1.060655737704918,0.23152083250585853,19.456723338485318,48,9,0,0.0,5,1,0,3.1119342763326814,3.0863598306747484,3.765594055319445,,magui,danuinsua,magui danuinsua
36204399,Destructoid,destructoid,"San Francisco, CA",video games. updates all day every day,309042,133,2451,414,1,95371,0,0,0,36204399,1,bot,2306.291044776119,0.004351381956968502,0.30860430425539487,38,11,0,0.0,11,1,1,5.490018911021833,2.1271047983648077,2.6180480967120925,video games updates all day every day,destructoid,destructoid,video games updates all day every day destructoid destructoid
343791862,Danny Sheridan,DannySheridan1,,Handicapper & Sports Analyst for USA TODAY,428415,723,549,15,0,16119,0,1,0,343791862,0,human,591.7348066298342,0.0009925558312655087,0.03762697938452345,42,14,1,0.07142857142857142,14,2,0,5.631865682005645,2.859738566197147,1.2041199826559248,handicapper sports analyst for usa today,danny sheridan,dannysheridan1,handicapper sports analyst for usa today danny sheridan dannysheridan1
872978711116746752,سليمان الرشيدي,3bs_sa,"شاطئ نصف القمر, المملكة العربية السعودية",,225,383,0,0,0,1179,0,1,0,872978711116746752,1,bot,0.5885416666666666,0.000847457627118644,5.221238938053097,0,6,1,0.16666666666666666,14,2,0,2.3541084391474008,2.584331224367531,0.0,,,3bs sa,3bs sa
2385417602,さば@GR城ホ12/8.9余韻,3838mckrl,三重⇆名古屋 ときどき関西,うたプリに貢ぎ続けるロデオガール🐮🤘初ライブはBUMPのホームシップ衛星✩スタバ歴は10年以上☕️BROTHERS CONFLICT/夏目友人帳/進撃の巨人/マクロスF/イナイレ/CCさくら/文スト/RAD/Gero/SHiN,473,432,16,35517,0,48254,0,1,0,2385417602,1,bot,1.094688221709007,0.7360480779193866,101.80379746835443,113,9,4,0.4444444444444444,15,1,0,2.6757783416740852,2.6364878963533656,4.550448502899969,bump 10 brothers conflict f cc rad gero shin,gr 12 8 9,3838mckrl,bump 10 brothers conflict f cc rad gero shin gr 12 8 9 3838mckrl
625458452,キノピオ,DSkinopio_bot,キノコキャニオン,いただきストリートＤＳに登場するキノピオのセリフを集めたbotです。３０分に１度ツイートします。作成者→@kino777777,1279,1674,17,0,0,83740,0,1,0,625458452,1,bot,0.764179104477612,1.1941581781922833e-05,65.42265625,63,13,0,0.0,4,1,0,3.1072099696478683,3.224014811372864,0.0,bot kino777777,,dskinopio bot,bot kino777777  dskinopio bot
506437283,‎علوشش #أههليجده.🇸🇦MBS,ali_alsbai,Jeddah ,..الله ثم المليك والوطنء 🖐🏻🇸🇦💚. لاتجادلني في عِشق الملككي أذهب وشجع من تشاء واتركني اهلاوي اليوم وغداً وإلآ الابد .. AHLI.Jeddah💚,13348,16827,31,6523,0,133138,0,0,0,506437283,0,human,0.793261231281198,0.04900141956902185,9.973705895572703,129,10,0,0.0,22,2,0,4.125448733060263,4.226032503344959,3.8145139523682383,ahli jeddah,mbs,ali alsbai,ahli jeddah mbs ali alsbai
177194756,Государственная Дума,dumagovru,"Россия, Москва",Официальные новости Государственной Думы Федерального Собрания Российской Федерации. For English tweets follow https://t.co/mcL09caVPr,931011,168,1630,155,1,15748,0,0,0,177194756,1,bot,5508.94674556213,0.009905390818464664,0.01691600108269281,134,9,0,0.0,20,2,0,5.968955278725915,2.2278867046136734,2.1931245983544616,for english tweets follow,,dumagovru,for english tweets follow  dumagovru
628092930,Joven Poeta ღ,CitasDePoeta,Latinoamerica,"Créeme, lo pudimos ser todo incluso cuando no éramos nada. #FollowBack #mgwv #Siguemeytesigo",102646,39725,213,107562,0,15448,0,0,0,628092930,0,human,2.5838745406031314,6.962457116965499,0.15050610344189308,92,12,0,0.0,13,3,0,5.011346261037494,4.599074838264961,5.031662906467557,cr eme lo pudimos ser todo incluso cuando no ramos nada followback mgwv siguemeytesigo,joven poeta,citasdepoeta,cr eme lo pudimos ser todo incluso cuando no ramos nada followback mgwv siguemeytesigo joven poeta citasdepoeta
49337907,beerboy,ibeerboy,โลกใบนี้,ชื่อเบียร์นะ ไม่ใช่บอย กำลังพยายามหัดวาดรูป #ทาสแมว,207945,1056,116,98,0,180558,0,1,0,49337907,1,bot,196.73226111636708,0.000548297232483565,0.8682975387841074,51,8,0,0.0,7,1,0,5.317950570795516,3.024074987307426,1.99563519459755,,beerboy,ibeerboy,beerboy ibeerboy
